"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec1)","P(Sec2)"
0.1,0.005681818181818182,264,1.5,4.6137024381325e-7,0.9999407476368103,0.00005925236319076287,0.9999402862939037,0.000059252335853485615
0.2,0.005681818181818182,264,1.5,0.0006250221292447167,0.9932672951097082,0.006732704890295664,0.9926464810700096,0.006728496800749556
0.30000000000000004,0.005681818181818182,264,1.5,0.007512749914510612,0.968112163415227,0.031887836584770804,0.9608389788422926,0.031648271243194644
0.4,0.005681818181818182,264,1.5,0.02691810219462986,0.931955736408981,0.0680442635910232,0.9068692566554525,0.0662126411499217
0.5,0.005681818181818182,264,1.5,0.05856181243197782,0.8940657544005643,0.10593424559943641,0.8417076433895038,0.09973054417851915
0.6000000000000001,0.005681818181818182,264,1.5,0.09854184881112968,0.8587696398327218,0.14123036016728285,0.7741448918207374,0.12731325936813706
0.7000000000000001,0.005681818181818182,264,1.5,0.1427109831910244,0.8273986064297275,0.17260139357027682,0.7093197378152576,0.14796927899372164
0.8,0.005681818181818182,264,1.5,0.1879385718169591,0.8000124879037324,0.1999875120962642,0.6496592834913726,0.16240214469166547
0.9,0.005681818181818182,264,1.5,0.2322181365885112,0.7762244997864314,0.22377550021356696,0.595971092871677,0.17181077053981045
1,0.005681818181818182,264,1.5,0.2744117190073842,0.755540509109669,0.2444594908903302,0.5482113392251704,0.17737694176744467
1.1,0.005681818181818182,264,1.5,0.3139635724274081,0.73748590742231,0.26251409257769237,0.5059421973131328,0.18009423025946072
1.2000000000000002,0.005681818181818182,264,1.5,0.3506780861931495,0.7216456726043167,0.2783543273956823,0.4685803492258668,0.18074156458098303
1.3,0.005681818181818182,264,1.5,0.3845690315321358,0.7076706625457955,0.2923293374542014,0.43552244120685407,0.17990852726100828
1.4000000000000001,0.005681818181818182,264,1.5,0.41576387456098646,0.6952718955516157,0.30472810444837894,0.40620295838371456,0.17803316705529595
1.5,0.005681818181818182,264,1.5,0.4444455353780645,0.684211523231,0.3157884767689938,0.3801167664767572,0.17543769814517485
1.6,0.005681818181818182,264,1.5,0.47081811414777003,0.6742938099491995,0.32570619005080664,0.3568240699674025,0.17235781588483068
1.7000000000000002,0.005681818181818182,264,1.5,0.4950874464438111,0.6653572274711281,0.33464277252887076,0.3359472167495134,0.168965336806675
1.8,0.005681818181818182,264,1.5,0.5174506313888187,0.6572678961076973,0.3427321038922941,0.3171642082751688,0.16538516033600828
1.9000000000000001,0.005681818181818182,264,1.5,0.538090888389699,0.6499142793101935,0.35008572068981386,0.3002013273790205,0.1617077842312839
2,0.005681818181818182,264,1.5,0.5571755134003665,0.6432029412189642,0.35679705878104373,0.28482601222466203,0.15799847437497494
