"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec1)"
0.1,0.005681818181818182,176,1,0.000059696841296233666,0.9999999999999978,0.9999403031587015
0.2,0.005681818181818182,176,1,0.007224376284543799,0.9999999999999984,0.9927756237154548
0.30000000000000004,0.005681818181818182,176,1,0.036803561589384984,1.000000000000001,0.963196438410616
0.4,0.005681818181818182,176,1,0.08354158994530933,1.0000000000000013,0.916458410054692
0.5,0.005681818181818182,176,1,0.13687027155917156,0.999999999999997,0.8631297284408259
0.6000000000000001,0.005681818181818182,176,1,0.1903625778428118,1.0000000000000033,0.8096374221571909
0.7000000000000001,0.005681818181818182,176,1,0.2410369980502098,0.999999999999998,0.7589630019497886
0.8,0.005681818181818182,176,1,0.2877733793541649,1.0000000000000013,0.7122266206458361
0.9,0.005681818181818182,176,1,0.33034473848062407,1.000000000000003,0.669655261519378
1,0.005681818181818182,176,1,0.3689220860033031,0.9999999999999968,0.6310779139966949
1.1,0.005681818181818182,176,1,0.40383411004046116,1.0000000000000018,0.5961658899595399
1.2000000000000002,0.005681818181818182,176,1,0.43545375125887414,1.0000000000000024,0.5645462487411272
1.3,0.005681818181818182,176,1,0.4641466874429775,1.0000000000000042,0.5358533125570247
1.4000000000000001,0.005681818181818182,176,1,0.49024982021441665,1.0000000000000022,0.5097501797855845
1.5,0.005681818181818182,176,1,0.514064147966161,0.999999999999997,0.4859358520338376
1.6,0.005681818181818182,176,1,0.5358543498937759,0.9999999999999993,0.4641456501062238
1.7000000000000002,0.005681818181818182,176,1,0.5558513006190811,0.9999999999999942,0.4441486993809164
1.8,0.005681818181818182,176,1,0.5742556649123541,0.9999999999999951,0.4257443350876438
1.9000000000000001,0.005681818181818182,176,1,0.5912416869350846,1,0.4087583130649154
2,0.005681818181818182,176,1,0.6069607726346622,1.0000000000000018,0.39303922736533853
