"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec1)","P(Sec2)"
0.1,0.005681818181818182,352,2,3.565776170860735e-9,0.9999402729837755,0.000059727016235255794,0.9999402694182123,0.00005972701602228263
0.2,0.005681818181818182,352,2,0.00005409152560545069,0.9925663267193795,0.007433673280624919,0.9925126372925026,0.007433271181896317
0.30000000000000004,0.005681818181818182,352,2,0.0015399039099722681,0.9596365826673039,0.04036341733269936,0.9581588345415022,0.0403012615485289
0.4,0.005681818181818182,352,2,0.008789133370729249,0.9027275118925909,0.09727248810740452,0.8947933193931403,0.09641754723612586
0.5,0.005681818181818182,352,2,0.025685681162998377,0.83375103570551,0.16624896429448544,0.8123355724330587,0.16197874640393858
0.6000000000000001,0.005681818181818182,352,2,0.05284764517472471,0.7626906808829192,0.23730931911708034,0.7223842744015496,0.22476808042372537
0.7000000000000001,0.005681818181818182,352,2,0.08823791708814048,0.6952732247203506,0.30472677527965236,0.6339237635638723,0.27783831934798997
0.8,0.005681818181818182,352,2,0.12882845816240587,0.6340045263847587,0.3659954736152439,0.5523267007826239,0.31884484105497257
0.9,0.005681818181818182,352,2,0.17178612077889258,0.5795353780438217,0.4204646219561786,0.47997924359554456,0.3482346356255631
1,0.005681818181818182,352,2,0.21495834927441382,0.5316074864144211,0.46839251358558,0.4173340186728568,0.36770763205273027
1.1,0.005681818181818182,352,2,0.2569172591019382,0.48958875873410895,0.5104112412658863,0.3638049567530216,0.37927778414503677
1.2000000000000002,0.005681818181818182,352,2,0.2968229273779561,0.4527443780068918,0.5472556219931135,0.31835946637297424,0.38481760624907335
1.3,0.005681818181818182,352,2,0.3342532328374431,0.4203615123232912,0.5796384876767092,0.27985431786879444,0.38589244929376276
1.4000000000000001,0.005681818181818182,352,2,0.36905902066273283,0.391799134327272,0.6082008656727326,0.24720212951594248,0.38373884982132755
1.5,0.005681818181818182,352,2,0.40125788661241224,0.36650177628829245,0.6334982237117147,0.21944004809515713,0.37930206529243493
1.6,0.005681818181818182,352,2,0.430962286126888,0.34399712972094626,0.6560028702790484,0.1957473402753196,0.3732903735977893
1.7000000000000002,0.005681818181818182,352,2,0.45833333121025677,0.32388729393515964,0.6761127060648349,0.17543895156918232,0.3662277172205579
1.8,0.005681818181818182,352,2,0.483552272120872,0.3058383014875944,0.6941616985124108,0.15794949590167984,0.3584982319774508
1.9000000000000001,0.005681818181818182,352,2,0.5068035814512002,0.28956996852692074,0.7104300314730744,0.14281487139676596,0.3503815471520314
2,0.005681818181818182,352,2,0.5282654114932488,0.27484686531145774,0.7251531346885358,0.129654772910071,0.34207981559667716
