"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec3 | Acc)","P(Sec4 | Acc)","P(Sec1)","P(Sec2)","P(Sec3)","P(Sec4)"
0.1,0.005681818181818182,616,3.5,-1.342350709754303e-13,0.9999402694153612,0.00005972701980934929,3.5652948047078733e-9,-4.4771587628136187e-13,0.9999402694154955,0.00005972701980935731,3.5652948047083522e-9,-4.47715876281422e-13
0.2,0.005681818181818182,616,3.5,3.5079797954277667e-8,0.9925076246160163,0.0074362845747752765,0.000055713166646279526,3.77642539605525e-7,0.9925075897990492,0.007436284313911915,0.00005571316469187289,3.7764252635790095e-7
0.30000000000000004,0.005681818181818182,616,3.5,0.000013371426951396849,0.9577557829339853,0.04047773357904461,0.0017101541509985806,0.00005632933597720824,0.9577429763724965,0.0404771923339869,0.001710131283797275,0.000056328582773607
0.4,0.005681818181818182,616,3.5,0.0003164582205877704,0.8910410310490101,0.09751547101211483,0.010664833548938902,0.0007786643899362762,0.8907590537898538,0.09748461143967857,0.01066145857469114,0.0007784179751890019
0.5,0.005681818181818182,616,3.5,0.0023419641271972065,0.7980873959884399,0.16417486864374892,0.03374001684021544,0.003997718527604311,0.7962183039366668,0.16379037699079793,0.03366099893112462,0.00398835601422203
0.6000000000000001,0.005681818181818182,616,3.5,0.009279545052957956,0.6890122586039888,0.22530360599254978,0.07358293409977398,0.012101201303684988,0.6826185383082328,0.22321289103014805,0.07290011794766629,0.01198890766099253
0.7000000000000001,0.005681818181818182,616,3.5,0.024907310263607808,0.5759348821500866,0.27062080674493977,0.1269596091730878,0.026484701931883056,0.56158989334874,0.26388037034755574,0.1237973867964673,0.025825039243626474
0.8,0.005681818181818182,616,3.5,0.05131910208653535,0.46961471433678276,0.2966459241198717,0.18699440814938365,0.046744953393956026,0.44551450887039423,0.28142232165640935,0.17739802302795415,0.04434604435870126
0.9,0.005681818181818182,616,3.5,0.08769950370766214,0.37682964859052465,0.30533592390008735,0.24671086950859833,0.07112355800079076,0.34378187542680294,0.2785581149099292,0.22507444869340848,0.06488605726219829
1,0.005681818181818182,616,3.5,0.1310447356710142,0.30002322602104525,0.30121844631784633,0.30127806989273337,0.09748025776837752,0.26070676167195245,0.2617453546408906,0.2617971648601668,0.08470598315597816
1.1,0.005681818181818182,616,3.5,0.1777630383901268,0.23857689694359963,0.28902038910486455,0.3483903441672092,0.12401236978433737,0.19616674285321722,0.23764324658088715,0.28645941804226416,0.10196755413351362
1.2000000000000002,0.005681818181818182,616,3.5,0.2248546142193841,0.19036880582076038,0.27251274467320885,0.38760920476199373,0.14950924474402671,0.14756350142852845,0.21123699659984896,0.3004534865573534,0.1158914011948771
1.3,0.005681818181818182,616,3.5,0.2703127328122384,0.15288362319111476,0.2542800977588897,0.41953284237636823,0.1733034366736249,0.11155723320408803,0.1855449496339211,0.3061277732491261,0.12645731110062466
1.4000000000000001,0.005681818181818182,616,3.5,0.31302641278189397,0.12378700601302128,0.23591432196609066,0.44518167141510656,0.19511700060579082,0.08503840357175449,0.16206690803717252,0.3058280497757879,0.13404022583339747
1.5,0.005681818181818182,616,3.5,0.35252005652325363,0.10113556381952125,0.2183057128058844,0.4656461207684048,0.21491260260618272,0.0654832491453525,0.14134857058820488,0.30149652395529297,0.13915159978789166
1.6,0.005681818181818182,616,3.5,0.38870865171796765,0.08339899121100965,0.20189445570543885,0.48192220467464614,0.23278434840889606,0.050981081782739454,0.12341633403884478,0.294594874262614,0.14229905819782845
1.7000000000000002,0.005681818181818182,616,3.5,0.4217213152279587,0.06940677872544074,0.18685068250172948,0.49485447355008966,0.24888806522273524,0.04013646071561197,0.10805176692585841,0.2861637941181068,0.14392666301246138
1.8,0.005681818181818182,616,3.5,0.45178972920051375,0.05827614378731935,0.17319174828544096,0.5051314816681466,0.26340062625908833,0.03194758056679614,0.09494549522779805,0.27691826635464034,0.1443989286502491
1.9000000000000001,0.005681818181818182,616,3.5,0.47918326813889944,0.04934474616981763,0.16085438294249002,0.5133028638017343,0.2764980070859536,0.025699569434679978,0.08377565402964161,0.2673367199801629,0.1440047884166138
2,0.005681818181818182,616,3.5,0.5041738287390451,0.04211551850516788,0.14973730959594936,0.5198026379034941,0.28834453399538823,0.02088197629108728,0.0742436769118758,0.257731751763034,0.14296876629495758
