"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec3 | Acc)","P(Sec4 | Acc)","P(Sec5 | Acc)","P(Sec6 | Acc)","P(Sec1)","P(Sec2)","P(Sec3)","P(Sec4)","P(Sec5)","P(Sec6)"
0.1,0.005681818181818182,968,5.5,5.68110012158507e-13,0.9999402693326618,0.000059727050824330265,3.5888774213624407e-9,1.5550789741209683e-11,9.356734506135571e-12,2.7705835087066015e-12,0.9999402693320936,0.00005972705082429633,3.5888774213604013e-9,1.5550789741200846e-11,9.356734506130254e-12,2.770583508705027e-12
0.2,0.005681818181818182,968,5.5,2.475627992534757e-12,0.9925075794530103,0.0074362841594511645,0.00005571577887652351,4.1745387321036375e-7,3.132341881118661e-9,2.2451893664515743e-11,0.9925075794505532,0.007436284159432756,0.00005571577887638558,4.174538732093303e-7,3.1323418811109065e-9,2.245189366446016e-11
0.30000000000000004,0.005681818181818182,968,5.5,2.3882917387025096e-8,0.9577372730273791,0.040476620190248135,0.0017106541036456247,0.00007229755244954622,0.0000030545164788199525,1.0060984278256499e-7,0.9577372501538188,0.04047661922354835,0.0017106540627902138,0.00007229755072286974,0.0000030545164058691874,1.0060984037970841e-7
0.4,0.005681818181818182,968,5.5,0.000003788877893553058,0.8905741422712861,0.09745684468718767,0.01066488171246015,0.0011671639484604475,0.00012764753545565458,0.000009319845139230275,0.8905707679946058,0.09745647543510325,0.01066484130452559,0.0011671595262187648,0.0001276470518147293,0.000009319809827475054
0.5,0.005681818181818182,968,5.5,0.00009882704985232849,0.7945045185184569,0.16339178524506642,0.03360242929893086,0.006912368795717221,0.0014205794162824306,0.00016831872553627322,0.7944259999807974,0.16337563771696056,0.03359910846997538,0.0069116856667016495,0.0014204390246096384,0.00016830209109319356
0.6000000000000001,0.005681818181818182,968,5.5,0.0009787373587626293,0.6748713684030295,0.22053243843179093,0.07206805928115466,0.023565899497443397,0.007696494795508167,0.0012657395911017941,0.6742108465824143,0.2203165950954787,0.07199752357916267,0.023542834671212404,0.007688961948520281,0.001264500764477518
0.7000000000000001,0.005681818181818182,968,5.5,0.005247819463311831,0.5400341083665189,0.2534359339097952,0.11894780687080207,0.05589130377405445,0.02622096271017051,0.005469884368671606,0.5372001068617808,0.25210594788312074,0.11832359025478723,0.055597996302279094,0.026083359831713303,0.0054411794030196255
0.8,0.005681818181818182,968,5.5,0.018150641778638125,0.4037419614993638,0.254524005493734,0.16048333029410095,0.10137400802381842,0.06390235324391191,0.01597434144505176,0.39641378578518416,0.24990423144595314,0.15757045485448987,0.09953400471851331,0.06274248452136968,0.015684396895832974
0.9,0.005681818181818182,968,5.5,0.04492913423524906,0.28244608235878976,0.2281885532520898,0.1844073782935962,0.1494208256605607,0.12073175455684951,0.03480540587811242,0.26975602441027147,0.2179362391120794,0.17612211444027287,0.14270747732691563,0.11530738134990767,0.03324162912530238
1,0.005681818181818182,968,5.5,0.08614535652581952,0.1874648122823951,0.18745952603532456,0.18753721652547914,0.18828431964300027,0.18832158888835693,0.06093253662544232,0.17131558919228232,0.17131075833085035,0.1713817561460319,0.17206449979913263,0.1720985584720606,0.05568348153382103
1.1,0.005681818181818182,968,5.5,0.13698887750850977,0.12052766226935671,0.14525532259613017,0.1751672171562704,0.21220368740167198,0.25579411859450957,0.09105199198204887,0.10401671310635277,0.1253569590015498,0.15117125670174353,0.18313414246135024,0.22075316941496909,0.07857888180551416
1.2000000000000002,0.005681818181818182,968,5.5,0.191113653816981,0.07658567389403516,0.10892467037539234,0.15505342311517692,0.22195881159115816,0.31570368774430313,0.12177373327994234,0.06194910592611033,0.08810767862914085,0.12542059688680512,0.17953945211109706,0.2553684024559941,0.09850111017387807
1.3,0.005681818181818182,968,5.5,0.24386761413892055,0.048819683200813355,0.08056449670149923,0.1331029009807334,0.22138027584442338,0.3652519296258714,0.15088071364667974,0.036914143535613064,0.06091742510660168,0.10064341408359297,0.16739279615682776,0.2761788129883732,0.11408579399008628
1.4000000000000001,0.005681818181818182,968,5.5,0.29288047452580135,0.03151212374219243,0.05950302534561661,0.11252051320390673,0.2144425447800681,0.4046633952214037,0.1773583977068275,0.02228283798726334,0.04207575104667163,0.07956545190285982,0.15163651050636134,0.2861453880057371,0.12541358602531605
1.5,0.005681818181818182,968,5.5,0.3373589269290166,0.02069928406152335,0.044204404244619105,0.09457149270732282,0.20413686686611546,0.43542397008619355,0.20096398203423899,0.013716195802328938,0.02929165386311794,0.06266695540950508,0.13526947251351124,0.28852980677874307,0.13316698870378596
1.6,0.005681818181818182,968,5.5,0.37732643431557866,0.013866036619591612,0.03316041826223412,0.07947703230904378,0.19240007519198896,0.45925911186360097,0.2218373257535485,0.00863401446383187,0.020648115878932123,0.04948824709788825,0.11980244085774655,0.28596850875716895,0.13813223862885857
1.7000000000000002,0.005681818181818182,968,5.5,0.41314775862041764,0.00947677695791842,0.025165521564073177,0.0670023683747264,0.18037774537875192,0.4777115771544601,0.24026601057008937,0.005561467798808804,0.014768442735362559,0.039320490058448634,0.10585508417051617,0.2803461097860702,0.14100064683038738
1.8,0.005681818181818182,968,5.5,0.4452893045458331,0.006604937280255345,0.01933320304380621,0.05676456899514774,0.16869947641642272,0.49202931041219117,0.2565685038521499,0.0036638293521615963,0.01072433450578636,0.031487913544454446,0.09357940388570768,0.27293392096258073,0.14232129320346118
1.9000000000000001,0.005681818181818182,968,5.5,0.47421366636312,0.004689865494379546,0.0150348455791008,0.04837143530886542,0.1576815767140924,0.5031781131198225,0.2710441637837038,0.002465867183539935,0.007905116333832063,0.02543303962380187,0.08290681810258506,0.2645641752635947,0.1425113171295076
2,0.005681818181818182,968,5.5,0.5003397820554604,0.0033886774158779337,0.011830890595261608,0.04147453850273718,0.14745837242743087,0.5118914663068416,0.28395605475185415,0.0016931872961613076,0.005911425373306418,0.02072317694742686,0.0736790825048372,0.2557718016188264,0.14188154420398308
