"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec3 | Acc)","P(Sec4 | Acc)","P(Sec5 | Acc)","P(Sec1)","P(Sec2)","P(Sec3)","P(Sec4)","P(Sec5)"
0.1,0.005681818181818182,880,5,-4.999306090630595e-13,0.9999402694611754,0.00005972700250886085,3.5518053276591943e-9,-1.027798900403883e-11,-5.249428823856045e-12,0.9999402694616752,0.000059727002508890705,3.5518053276609694e-9,-1.0277989004043968e-11,-5.249428823858669e-12
0.2,0.005681818181818182,880,5,2.2305841743987254e-11,0.9925075795448348,0.007436284134693885,0.000055715758295297225,4.174387694064961e-7,3.1233763991171697e-9,0.992507579522696,0.007436284134528012,0.00005571575829405443,4.174387693971847e-7,3.1233763990475e-9
0.30000000000000004,0.005681818181818182,880,5,1.1617458826017335e-7,0.9577373997716145,0.04047662436574371,0.001710649117037085,0.00007228630169206421,0.000003040443936034637,0.9577372885068665,0.040476619663388544,0.0017106489183031281,0.00007228629329423289,0.000003040443582812315
0.4,0.005681818181818182,880,5,0.000011453590481589975,0.8905855426937556,0.09745805844142014,0.01066468416493239,0.0011660663950355296,0.0001256483048635311,0.8905753422916608,0.09745694219672962,0.010664562016007349,0.0011660530393885666,0.0001256468657393025
0.5,0.005681818181818182,880,5,0.00021795188262320562,0.7946940525755204,0.16343056695760919,0.033606184393246204,0.006894450792974311,0.0013747452806242703,0.7945208475106522,0.1633949469578626,0.033598859862089915,0.00689294813444433,0.001374445652302231
0.6000000000000001,0.005681818181818182,880,5,0.0017140295375035208,0.6761131629324267,0.22093775612838618,0.07217695245210885,0.023469615629843416,0.007302512857240527,0.6749542850004656,0.22055906228843236,0.07205323902367894,0.023429388015420008,0.007289996134505217
0.7000000000000001,0.005681818181818182,880,5,0.007703826939241518,0.5444379795593909,0.25550208993238244,0.11983830063848556,0.05577595129173361,0.024445678578014027,0.540243723585715,0.25353374604892887,0.11891508710967388,0.055346263015610526,0.024257353300836684
0.8,0.005681818181818182,880,5,0.023298989606230055,0.41366699911486665,0.2607806987096685,0.16424006228651442,0.10227269025118219,0.05903954963777324,0.404028976002049,0.25470477192092655,0.16041343478237435,0.0998898399040187,0.05766398778440626
0.9,0.005681818181818182,880,5,0.0523689093782858,0.2982423146147947,0.24095096368655555,0.19437332595617626,0.1544075787250946,0.11202581701736916,0.2826236898679623,0.2283326245046437,0.18419420686362126,0.1463214222275196,0.10615914715795813
1,0.005681818181818182,880,5,0.09421580230294792,0.20686206195551035,0.2068576294858823,0.20640821374311333,0.20194284948425523,0.17792924533123766,0.18737238682232984,0.18736837196138398,0.18696129828338756,0.18291664190075269,0.16116549872919708
1.1,0.005681818181818182,880,5,0.1441357820735998,0.1403928005108171,0.16919782903237837,0.20331755370208202,0.23847467795423363,0.24861713880049327,0.12015717441168758,0.14481036761964128,0.1740122190899413,0.2041019437425503,0.21278251306258344
1.2000000000000002,0.005681818181818182,880,5,0.19667051094859053,0.09465312167760846,0.13462292806158857,0.190744248230227,0.26258254945228476,0.3173971525783011,0.0760376438743941,0.1081465680143206,0.15323047947028348,0.21094030528532037,0.25497449240709885
1.3,0.005681818181818182,880,5,0.24787282910976421,0.06409614801249834,0.10577546403277553,0.17372457453480378,0.27592689970313283,0.380476913716788,0.04820845446960219,0.07955660051257335,0.13066297275897187,0.20753211844623115,0.2861670247028561
1.4000000000000001,0.005681818181818182,880,5,0.2956555655680379,0.043895802956530824,0.08288667274642712,0.15559860135966078,0.28116247278296186,0.43645645015440904,0.030917764507354548,0.05838076663752933,0.10959500887307459,0.19803522287580716,0.30741567153818905
1.5,0.005681818181818182,880,5,0.33924960549480015,0.030515843751706045,0.06516707134751767,0.1381947127401875,0.2807852102497217,0.485337161910844,0.020163355797598807,0.04305916810162081,0.09131221096161166,0.18552893844372909,0.3206867212006242
1.6,0.005681818181818182,880,5,0.3786103154518275,0.021569791060086514,0.05158147258210329,0.1223410689610948,0.2767483284221602,0.5277593389745557,0.013403245662597152,0.032052194976323375,0.07602147824902092,0.17196855649748016,0.32794420916275124
1.7000000000000002,0.005681818181818182,880,5,0.414023552745689,0.015507314839762181,0.041175981109794695,0.10829924078421334,0.27045154656576115,0.5645659167004893,0.009086921256257898,0.024128155122928117,0.06346080435507251,0.15847823641103856,0.330822330109026
1.8,0.005681818181818182,880,5,0.4458920729648545,0.011335308450164174,0.03317462872968385,0.09604458427501376,0.2628513453781491,0.5965941331669866,0.006280984267624437,0.0183823247555657,0.0532190654955802,0.14564801410588524,0.3305775384104884
1.9000000000000001,0.005681818181818182,880,5,0.4746332033519562,0.008417933825472276,0.026980509426348314,0.08542574002600163,0.2545829135782102,0.62459290314399,0.004422502928283582,0.014174663809252962,0.04487984738874905,0.13374940978791006,0.3281403727338599
2,0.005681818181818182,880,5,0.5006353952790001,0.006345199022739659,0.02214620091338562,0.07624827164919064,0.2460594949021931,0.6492008335124769,0.0031685678018664645,0.011059028865184655,0.0380756880327575,0.12287340240968253,0.3241879176115017
