"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec3 | Acc)","P(Sec4 | Acc)","P(Sec5 | Acc)","P(Sec6 | Acc)","P(Sec1)","P(Sec2)","P(Sec3)","P(Sec4)","P(Sec5)","P(Sec6)"
0.1,0.005681818181818182,1056,6,1.8953458594261896e-13,0.9999402693786628,0.000059727033497590084,3.575544275989071e-9,6.232474551640598e-12,4.0303931931258775e-12,2.064534741081206e-12,0.9999402693784731,0.00005972703349757876,3.575544275988393e-9,6.2324745516394164e-12,4.030393193125113e-12,2.0645347410808146e-12
0.2,0.005681818181818182,1056,6,-6.787841773034375e-13,0.9925075795674706,0.007436284120645959,0.00005571574695860479,4.174301654367057e-7,3.116957240473519e-9,1.772683833192748e-11,0.9925075795681443,0.007436284120651007,0.00005571574695864261,4.17430165436989e-7,3.116957240475635e-9,1.7726838331939512e-11
0.30000000000000004,0.005681818181818182,1056,6,4.909969831428697e-9,0.9577372471337733,0.04047661903233252,0.0017106535741645142,0.00007229674242813767,0.000003055019184462606,1.284981234917688e-7,0.9577372424313122,0.04047661883359353,0.0017106535657652566,0.00007229674207316283,0.0000030550191694625536,1.2849812286084687e-7
0.4,0.005681818181818182,1056,6,0.00000125337576012207,0.8905703836797062,0.09745643420658776,0.010664797951287988,0.0011670323065573474,0.00012760220573443813,0.000013749650135015801,0.8905692674603747,0.09745631205705546,0.01066478458428875,0.0011670308438273432,0.00012760204580092652,0.000013749632901537612
0.5,0.005681818181818182,1056,6,0.000044814579880984784,0.794418747965637,0.16337419832224997,0.033598260573933524,0.00690880146033537,0.001417369823427991,0.00028262185443373605,0.7943831464231974,0.16336687677618877,0.03359675488200117,0.0069084918453004435,0.0014173063045948182,0.0002826091888540644
0.6000000000000001,0.005681818181818182,1056,6,0.0005591381100084283,0.674164304739567,0.22030180253388557,0.07198940737593598,0.023517827478717373,0.007647238521229626,0.002379419350710591,0.6737873537843798,0.22017862340038533,0.07194915535475518,0.023504677765109422,0.007642962658736083,0.0023780889266719176
0.7000000000000001,0.005681818181818182,1056,6,0.0035812241568824285,0.5370603260016807,0.25204194079256637,0.11828205421962666,0.0554779038223577,0.025820900698940153,0.011316874464847703,0.5351369925885003,0.2511393221056525,0.11785845966972966,0.05527922501301587,0.025728430265604646,0.011276346200633783
0.8,0.005681818181818182,1056,6,0.014199027873730093,0.3961988734807267,0.24977260005972624,0.15745967965411475,0.09916833463105519,0.06175236559010621,0.03564814658426025,0.3905732346326334,0.24622607194938412,0.15522390527371735,0.09776024068343744,0.060875542029823516,0.03514197755726352
0.9,0.005681818181818182,1056,6,0.038797137978006366,0.269617421631338,0.21783099071902703,0.17598638611586512,0.141966890979901,0.11277660547281733,0.08182170508106203,0.2591570373230327,0.20937977171621514,0.1691586180114772,0.1364589819222452,0.10840119594959725,0.07864725709943632
1,0.005681818181818182,1056,6,0.07934847329044563,0.17140122599123658,0.17140565092478433,0.17140197818617642,0.17102959285296285,0.16732959750274579,0.14743195454208227,0.1578008003887213,0.15780487421054762,0.15780149289814105,0.15745865577259371,0.15405224940459813,0.13573345403494166
