"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec3 | Acc)","P(Sec4 | Acc)","P(Sec5 | Acc)","P(Sec6 | Acc)","P(Sec7 | Acc)","P(Sec8 | Acc)","P(Sec1)","P(Sec2)","P(Sec3)","P(Sec4)","P(Sec5)","P(Sec6)","P(Sec7)","P(Sec8)"
0.1,0.005681818181818182,1320,7.5,-4.972710611339526e-13,0.9999402695393136,0.00005972698900059852,3.5382946244320367e-9,-2.3765399915286947e-11,-1.8711661614678458e-11,-1.3451256980667047e-11,-8.225637458441392e-12,-2.4471796930448553e-12,0.999940269539811,0.00005972698900062823,3.5382946244337965e-9,-2.3765399915298766e-11,-1.8711661614687763e-11,-1.3451256980673737e-11,-8.225637458445482e-12,-2.4471796930460726e-12
0.2,0.005681818181818182,1320,7.5,4.6365634855799476e-14,0.9925075794805102,0.007436284147789205,0.00005571576965629652,4.174474923858737e-7,3.128945296112792e-9,2.4428195087879987e-11,8.947500854344072e-13,2.5041497738257974e-13,0.9925075794804641,0.00743628414778886,0.00005571576965629393,4.1744749238585435e-7,3.1289452961126467e-9,2.4428195087878852e-11,8.947500854343657e-13,2.5041497738256813e-13
0.30000000000000004,0.005681818181818182,1320,7.5,4.2944625232212846e-11,0.9577372404396713,0.040476618749504804,0.0017106536138028498,0.00007229694809262553,0.0000030554736876842702,1.2913700262362119e-7,5.4579420665592895e-9,1.802559280844475e-10,0.9577372403985416,0.04047661874776655,0.0017106536137293862,0.00007229694808952075,0.000003055473687553054,1.2913700261807542e-7,5.4579420663249e-9,1.8025592807670646e-10
0.4,0.005681818181818182,1320,7.5,4.5373741546124446e-8,0.8905685898893629,0.09745623650612417,0.010664779919325976,0.0011670626445987793,0.00012771382306669553,0.000013977001096165205,0.0000015286080141946572,1.1160840995520063e-7,0.8905685494809339,0.09745623208417008,0.010664779435425008,0.0011670625916447804,0.0001277138172718415,0.000013977000461976369,0.0000015286079448359922,1.1160840489110948e-7
0.5,0.005681818181818182,1320,7.5,0.0000041792920724967035,0.7943541791975643,0.1633608911552781,0.03359556762731162,0.006909010150885463,0.0014208763726269729,0.000292289040092398,0.000060069108788303666,0.000007117347474520868,0.7943508593594404,0.16336020842240073,0.03359542722162216,0.0069089812761141105,0.0014208704343696126,0.00029228781853112983,0.0000600688577419535,0.000007117317729046991
0.6000000000000001,0.005681818181818182,1320,7.5,0.00010437605037667502,0.6733983656437822,0.2200513138217075,0.07190776063648112,0.023497802002477718,0.007678874812418241,0.0025109541407464745,0.0008200639841345112,0.00013486495828833315,0.6733280789820462,0.22002834573469057,0.07190025518843444,0.023495349394712164,0.007678073321793983,0.0025106920572705864,0.000819978389094791,0.00013485088161665278
0.7000000000000001,0.005681818181818182,1320,7.5,0.0011448507626101796,0.5327297978208885,0.2500088999369846,0.11732851362478168,0.05506182103520304,0.025842755423611023,0.012143017447168617,0.005696800509019719,0.0011883942023321646,0.532119901705588,0.24972267705723242,0.11719418998648241,0.05499878346740018,0.02581316932535635,0.012129115504383836,0.005690278522612529,0.001187033668323343
0.8,0.005681818181818182,1320,7.5,0.006911195431308493,0.38244232219101393,0.24109843645850157,0.15199239250820745,0.09581791400999429,0.060415432776372145,0.03816318216113226,0.024056631430850704,0.0060136884639515244,0.3797991885611484,0.23943215804595397,0.15094194337951108,0.09515569768045092,0.05999788991338756,0.03789942895093605,0.023890371349613138,0.005972126687714151
0.9,0.005681818181818182,1320,7.5,0.025715350661685666,0.242784590808881,0.19614916831171403,0.15847096169259062,0.1280288937886358,0.10346475452764917,0.08383498095714906,0.0677385116772966,0.019528138236082206,0.2365412999209768,0.1911051236665803,0.1543958253429711,0.12473658589003334,0.10080412208384545,0.08167913502412023,0.06599659209621422,0.019025965313571484
1,0.005681818181818182,1320,7.5,0.06416143078733867,0.13634604663907904,0.13634597746243102,0.1363446531745804,0.13634080844418123,0.1363973133566973,0.13694068741241222,0.13696779363150538,0.04431671987909126,0.12759788920451853,0.1275978244663432,0.12759658514669586,0.1275929870997001,0.12764586657618263,0.12815437697503015,0.12817974402032306,0.04147329572384707
1.1,0.005681818181818182,1320,7.5,0.11830615560747021,0.07014334555318895,0.08453767665637146,0.10188432026165023,0.12278708081399309,0.14807217294891437,0.1793798041191254,0.21622762285768787,0.07696797678906588,0.06184495599934482,0.07453634912716878,0.0898307780148141,0.10826061332462579,0.13055432341488385,0.1581580691001706,0.19064656406125285,0.06786219135026648
1.2000000000000002,0.005681818181818182,1320,7.5,0.17791628591759578,0.03467715725095019,0.04932289636239208,0.07015247317975179,0.0997749922233624,0.1420289272604527,0.20331425951800897,0.2891845610489086,0.11154473315617375,0.028507526226680707,0.040547549830896784,0.05767120570367659,0.08202339617952475,0.11675966802941255,0.1671413415904786,0.23773391800237653,0.091699108519358
1.3,0.005681818181818182,1320,7.5,0.23541139736073535,0.01711141493309632,0.028240346358851597,0.04660562459356808,0.07691075488555554,0.12706644999012448,0.21134029041548671,0.34868711129063096,0.14403800753265558,0.013083192832876761,0.021592246960563187,0.035634129383126364,0.0588050866058779,0.09715355944028127,0.16158837733015335,0.26660219118002526,0.11012981890633701
1.4000000000000001,0.005681818181818182,1320,7.5,0.2876880869459126,0.008616699490646683,0.016272244774723603,0.030727820250203083,0.05802205786377652,0.10971999642185214,0.20910529623502933,0.3945917505321392,0.17294413443164453,0.0061377776983947184,0.011590913805167746,0.021887792426404283,0.0413298030362816,0.07815486055153711,0.14894819359091538,0.28107240469690925,0.12319016724848796
1.5,0.005681818181818182,1320,7.5,0.33420754798342694,0.004474224734215478,0.009556159201332865,0.020408865156272427,0.04358419947960494,0.09324461835450044,0.20127274824927036,0.4293148046141746,0.1981443802106229,0.0029789050566665226,0.006362418666516144,0.013588068375270218,0.02901803104070562,0.06208156309159239,0.1340058765809961,0.28583455645108724,0.13192303275373474
1.6,0.005681818181818182,1320,7.5,0.3754045758583002,0.002404192381022127,0.0057504584490282095,0.013752963928905076,0.03289000662750131,0.07882892486047777,0.19083111975996989,0.45551401416998255,0.2200283198231233,0.0015016475599427584,0.003591710033979996,0.008590038338379964,0.020542947639527496,0.049236185757864294,0.1191922441859139,0.2845119688829885,0.13742868174310927
1.7000000000000002,0.005681818181818182,1320,7.5,0.4119602019863059,0.0013370307054095356,0.0035510932088159263,0.009430453307692079,0.02504250938370311,0.06667485249946598,0.17949603660627544,0.47537646375751297,0.2390915605311401,0.0007862272659471302,0.002088184133239918,0.005545481858232823,0.014725992159748815,0.03920746679637882,0.10555081311021286,0.2795402797284321,0.14059535296151054
1.8,0.005681818181818182,1320,7.5,0.44454284670010413,0.0007683859427842934,0.0022495669806650194,0.006585003886265827,0.019274856343823196,0.056593256196290756,0.16819034933893184,0.4905443891221186,0.2557941921891557,0.0004268054684146203,0.0012495380712376335,0.003657687513133968,0.010706356835004472,0.031435128982763356,0.09342253265631811,0.2724763899490084,0.1420827138240349
1.9000000000000001,0.005681818181818182,1320,7.5,0.4737356521418341,0.00045534681462590924,0.0014600678261889337,0.004680882456508545,0.015006047615201443,0.048278783953141335,0.15737955111356466,0.5022143183960603,0.27052500182468886,0.00023963279444839727,0.0007683816423780091,0.002463381553375199,0.007897147862142573,0.02540740275248521,0.082823246832991,0.264297490755736,0.14236766366459902
2,0.005681818181818182,1320,7.5,0.5000278444560785,0.0002775929285799207,0.0009693795507306383,0.0033844518322579996,0.011816137803110999,0.04142282089614566,0.14727449589470273,0.5112531517310965,0.2836019693633859,0.0001387887348658528,0.00048466278351899547,0.0016921316779086068,0.005907739887625423,0.02071025705215574,0.07363314716911895,0.25561234029961993,0.14179308793911324
