"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec3 | Acc)","P(Sec4 | Acc)","P(Sec5 | Acc)","P(Sec6 | Acc)","P(Sec7 | Acc)","P(Sec1)","P(Sec2)","P(Sec3)","P(Sec4)","P(Sec5)","P(Sec6)","P(Sec7)"
0.1,0.005681818181818182,1232,7,3.055325090151051e-13,0.9999402693379793,0.0000597270431465407,3.584092533321577e-9,1.361056654395068e-11,1.0243161786677034e-11,7.0924517081650585e-12,3.919871752786331e-12,0.9999402693376738,0.00005972704314652245,3.5840925333204817e-9,1.3610566543946522e-11,1.0243161786673905e-11,7.092451708162891e-12,3.919871752785133e-12
0.2,0.005681818181818182,1232,7,-2.472661832231271e-13,0.9925075795202257,0.007436284137140508,0.000055715760361902,4.1743996433293333e-7,3.123180755857375e-9,2.0423409574381066e-11,-1.3636711474762871e-12,0.9925075795204712,0.007436284137142347,0.00005571576036191578,4.1743996433303656e-7,3.1231807558581475e-9,2.0423409574386116e-11,-1.3636711474766244e-12
0.30000000000000004,0.005681818181818182,1232,7,2.064010235511629e-10,0.9577372407943613,0.04047661872915429,0.001710653583171756,0.00007229692033081746,0.0000030554446840861427,1.291032074628356e-7,5.4251041385794216e-9,0.9577372405966833,0.04047661872079987,0.0017106535828186752,0.0000722969203158953,0.0000030554446834554953,1.2910320743618856e-7,5.425104137459674e-9
0.4,0.005681818181818182,1232,7,1.3715743481457687e-7,0.8905687262789976,0.0974562514801774,0.010664781715159817,0.0011670624075255254,0.00012770981868630876,0.000013963662791831308,0.0000015046366985405786,0.8905686041308756,0.09745623811332794,0.010664780252405713,0.0011670622474542394,0.00012770980116995763,0.000013963660876611138,0.0000015046364921684687
0.5,0.005681818181818182,1232,7,0.000009215899888054724,0.7943621809338531,0.16336253877682094,0.03359591383203154,0.006909073022883785,0.0014207108593424912,0.0002914648354594983,0.00005811773961585349,0.7943548601715189,0.16336103324401813,0.03359560421545302,0.006909009349558488,0.001420697766213442,0.0002914621493487539,0.000058117204008583484
0.6000000000000001,0.005681818181818182,1232,7,0.00018261054649483882,0.6735300751525534,0.22009436991795703,0.07192191291674273,0.023502376411661998,0.0076778633650611255,0.002496593381702597,0.0007768088543252667,0.6734070814574491,0.22005417836478589,0.07190877921692006,0.02349808462986154,0.00767646130623612,0.0024961374774207894,0.0007766670008358564
0.7000000000000001,0.005681818181818182,1232,7,0.0016732403150155012,0.5336671562919715,0.25044886902315183,0.11753543497865072,0.055158806714572024,0.025871168667366686,0.012041134063729066,0.005277430260561566,0.5327742028912641,0.2500298078786523,0.11733876995040157,0.055066512775449064,0.025827879984955886,0.01202098635277513,0.005268599851489912
0.8,0.005681818181818182,1232,7,0.008767287919376346,0.3859266166559919,0.24329518272033532,0.15337870558639807,0.09669179822459945,0.06089663476574259,0.03792048406550739,0.021890577981412675,0.38254308689201805,0.24116214380402884,0.15203399031382087,0.09584407339012213,0.06036273643543022,0.03758802426366296,0.021698656981528067
0.9,0.005681818181818182,1232,7,0.029374584166689168,0.2502172678823614,0.20215448703017053,0.16332591536575575,0.1319515533963657,0.10644432338460691,0.08455795136424761,0.06134850157648545,0.242867239686992,0.1962162830362289,0.1585282845182428,0.12807553138519875,0.10331756564827949,0.0820740967049357,0.05954641485342671
1,0.005681818181818182,1232,7,0.06853381461531524,0.1463211643974311,0.14632159902158368,0.14632537649552704,0.14632224115786518,0.14600434368142615,0.14284573595992817,0.12585953928622975,0.13629321684232046,0.13629362168002196,0.13629714026926637,0.1362942198082546,0.1359981090585325,0.13305597277306216,0.11723390495321828
