"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec3 | Acc)","P(Sec4 | Acc)","P(Sec5 | Acc)","P(Sec6 | Acc)","P(Sec7 | Acc)","P(Sec8 | Acc)","P(Sec9 | Acc)","P(Sec1)","P(Sec2)","P(Sec3)","P(Sec4)","P(Sec5)","P(Sec6)","P(Sec7)","P(Sec8)","P(Sec9)"
0.1,0.005681818181818182,1496,8.5,-5.294500731931051e-13,0.9999402695888502,0.00005972698136222699,3.5309639312369844e-9,-3.077646101867247e-11,-2.5389628455112467e-11,-1.9774124616267783e-11,-1.4164143627268531e-11,-8.582482836518411e-12,-2.5098701871167122e-12,0.9999402695893795,0.00005972698136225861,3.5309639312388534e-9,-3.0776461018688765e-11,-2.538962845512591e-11,-1.9774124616278252e-11,-1.4164143627276029e-11,-8.582482836522954e-12,-2.5098701871180407e-12
0.2,0.005681818181818182,1496,8.5,5.397712441942981e-13,0.9925075793845957,0.007436284169394784,0.00005571578920040817,4.174640813780913e-7,3.142579830509029e-9,3.510914155122682e-11,8.597360688210614e-12,5.1246376145942764e-12,1.3332044886481523e-12,0.9925075793840599,0.00743628416939077,0.000055715789200378094,4.174640813778659e-7,3.142579830507333e-9,3.5109141551207864e-11,8.597360688205974e-12,5.1246376145915105e-12,1.3332044886474326e-12
0.30000000000000004,0.005681818181818182,1496,8.5,2.2900782290467825e-12,0.9577372403486794,0.040476618753027986,0.0017106536205849278,0.00007229695396916095,0.0000030554780519511963,1.2914022920164256e-7,5.463124815810113e-9,2.3402266362329613e-10,8.433008932714485e-12,0.957737240346486,0.04047661875293529,0.00171065362058101,0.00007229695396899538,0.0000030554780519441985,1.291402292013468e-7,5.463124815797602e-9,2.3402266362276017e-10,8.433008932695172e-12
0.4,0.005681818181818182,1496,8.5,4.96546179875961e-9,0.8905685299686543,0.09745622994479855,0.010664779226245855,0.001167062546701734,0.00012771338305976373,0.00001397591318493066,0.000001529525087991755,1.6727864889697961e-7,1.2213668159010419e-8,0.8905685255465703,0.09745622946088336,0.010664779173290301,0.0011670625409067295,0.0001277133824256078,0.000013975913115533798,0.0000015295250803969568,1.6727864806636389e-7,1.2213668098363917e-8
0.5,0.005681818181818182,1496,8.5,8.594788200751757e-7,0.7943489050014828,0.1633598067693774,0.03359534614596603,0.00690896526943975,0.0014208455026834652,0.00029220478173643726,0.00006010956105842037,0.00001235327796695404,0.0000014636903169107678,0.7943482222754231,0.16335966636508342,0.03359531727147756,0.006908959331330431,0.001420844281496849,0.0002922045305926162,0.00006010950939552575,0.000012353267349573268,0.0000014636890588999411
0.6000000000000001,0.005681818181818182,1496,8.5,0.00003410413597024271,0.6732800768962663,0.22001266210850295,0.07189514832312305,0.0234936980537832,0.007677200097769635,0.0025088414194296576,0.0008203787686677504,0.0002679312592609214,0.00004406307322272413,0.6732571152609779,0.22000515876675925,0.07189269640120904,0.02349289682151033,0.00767693827349363,0.0025087558575607617,0.0008203507903586767,0.0002679221216968249,0.000044061570489683675
0.7000000000000001,0.005681818181818182,1496,8.5,0.0005365153085948219,0.5316518337709062,0.24950302396305832,0.11709120983738366,0.05495059419381215,0.02578810289551155,0.012103407096586732,0.005687159939478111,0.0026680860607558904,0.0005565822424722253,0.5313665944232456,0.24936916177116147,0.11702838861080403,0.054921112358810795,0.025774267183528494,0.01209691343339326,0.005684108691108155,0.002666654591739647,0.0005562836275786469
0.8,0.005681818181818182,1496,8.5,0.004312876126616397,0.3775864962950985,0.23803726578179238,0.15006292259425139,0.09460211755433155,0.05963836356138867,0.03760338117205388,0.02375327990092034,0.014973172238281778,0.0037430009018508226,0.3759580125094947,0.23701064054095708,0.14941571979790436,0.09419411034000413,0.05938115068695429,0.03744120244711688,0.023650834947106826,0.014908594801195578,0.003726857802619327
0.9,0.005681818181818182,1496,8.5,0.01989151238746598,0.23106954311318056,0.18668446631024885,0.15082506959608327,0.1218531489756526,0.0984453158003669,0.07955720097948399,0.06446327022137954,0.05208620474406,0.01501578025955862,0.2264732204339786,0.18297102993609105,0.14782493085587237,0.11942930555335166,0.0964870895816359,0.07797468793068846,0.0631809982832344,0.05105013135717744,0.014717093680518142
1,0.005681818181818182,1496,8.5,0.056900985853538054,0.11998636735551149,0.11998637979430846,0.11998631892018422,0.11998515353075713,0.1199817701171763,0.12003149521174336,0.12050967178930881,0.1205335256322058,0.03899931764880306,0.11315902476399811,0.11315903649501527,0.11315897908468871,0.11315788000706893,0.1131546891130564,0.11320158480072093,0.11365255265961084,0.1136750491953306,0.03678021802697088
1.1,0.005681818181818182,1496,8.5,0.11253165222704498,0.05499895343094613,0.06628553495350356,0.07988819291204498,0.09628078927482218,0.1160339198742719,0.1399283584056352,0.16951410262831246,0.2043353299011795,0.07273481861929111,0.04880983033060346,0.05882631418643226,0.07089824257021965,0.0854461529800025,0.10297643115643954,0.12418198904083094,0.1504384005837636,0.18134113761904147,0.06454984930562785
1.2000000000000002,0.005681818181818182,1496,8.5,0.17442045069586126,0.023799965336310038,0.0338518420950894,0.04814901312749093,0.06848284674311243,0.09740035086509471,0.13864864371821115,0.1984753871983671,0.28230197853623906,0.10888997238011165,0.019648764655804965,0.027947388539978777,0.03975084055723302,0.05653803774924316,0.08041173776926987,0.11446548479251087,0.16385722071119233,0.23306274020761486,0.0898973343213127
1.3,0.005681818181818182,1496,8.5,0.23355988586355686,0.010261732805106396,0.016935822157392245,0.027950551464156325,0.04612737012274944,0.0761215172673814,0.1257625280329362,0.20917157282901117,0.3451089773315738,0.14255992798970032,0.007865003662383428,0.012980293467306215,0.021422423854364502,0.035353866821694044,0.058342584382651025,0.09638944633965126,0.16031748415316666,0.2645053639755226,0.10926364747970903
1.4000000000000001,0.005681818181818182,1496,8.5,0.28675608899604826,0.004542082348023039,0.008577561738080289,0.016198334903869276,0.03058825196385723,0.05775851690094557,0.1092216391626498,0.2081555227565736,0.39279948229859407,0.17215860792739562,0.003239612578005964,0.006117893680946238,0.011553363738587542,0.021816884461475835,0.04119591048821826,0.07790166908263071,0.1484656591479706,0.2801618389949767,0.12279107883113158
1.5,0.005681818181818182,1496,8.5,0.3337420706241917,0.002090450601880207,0.004464871598489297,0.00953618253064553,0.020366201437640775,0.04349308886685079,0.09304969508586704,0.2008519975061804,0.42841734320773756,0.19773016916468655,0.0013927792894711188,0.0029747561061383345,0.006353557227017647,0.013569143199093154,0.02897761533058603,0.0619950971769601,0.13381923596946277,0.28543645199427226,0.13173929308279236
1.6,0.005681818181818182,1496,8.5,0.3751690401563413,0.0010041408555396922,0.0024017782363874233,0.0057446841815806575,0.01373915401825192,0.03285698042972197,0.0787497695169066,0.19063949843448277,0.45505661393227365,0.21980738039483486,0.0006274182945850985,0.0015007054007735638,0.0035894565311757253,0.008584648792664209,0.020530058619467488,0.049205294074715654,0.11911746079093155,0.2843334608665078,0.1373424564728249
1.7000000000000002,0.005681818181818182,1496,8.5,0.4118382897952409,0.0005031472935248054,0.0013363579778315473,0.003549306482114027,0.00942570839763782,0.02502990931081455,0.06664130522721612,0.17940572366321303,0.47513727938403877,0.23897126226358606,0.0002959319726444455,0.0007859945936871766,0.0020875661705610235,0.005543840771046021,0.01472163426651871,0.03919586405271679,0.10551957725027782,0.2794575548245527,0.1405537463027408
