"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec3 | Acc)","P(Sec4 | Acc)","P(Sec5 | Acc)","P(Sec6 | Acc)","P(Sec7 | Acc)","P(Sec8 | Acc)","P(Sec1)","P(Sec2)","P(Sec3)","P(Sec4)","P(Sec5)","P(Sec6)","P(Sec7)","P(Sec8)"
0.1,0.005681818181818182,1408,8,2.157408366537661e-13,0.9999402693435847,0.000059727039531099876,3.581344629411833e-9,1.1767706384838402e-11,9.301557066218485e-12,7.057623213045151e-12,4.8165927871682244e-12,2.576487793596447e-12,0.9999402693433689,0.00005972703953108699,3.58134462941106e-9,1.1767706384835863e-11,9.301557066216477e-12,7.0576232130436275e-12,4.816592787167185e-12,2.576487793595891e-12
0.2,0.005681818181818182,1408,8,-3.553758849694777e-13,0.9925075795506484,0.00743628413116881,0.000055715754711656056,4.1743494134894886e-7,3.1187902139868592e-9,1.667431862374702e-11,-4.470820103560203e-12,-2.54516456835684e-12,0.992507579551001,0.007436284131171452,0.00005571575471167585,4.1743494134909714e-7,3.1187902139879672e-9,1.667431862375294e-11,-4.4708201035617914e-12,-2.5451645683577444e-12
0.30000000000000004,0.005681818181818182,1408,8,9.013335867599781e-12,0.9577372403945849,0.040476618746898896,0.001710653613236204,0.00007229694756214537,0.000003055472579525878,1.2913548421417433e-7,5.458957009654001e-9,2.3072983485299264e-10,0.9577372403859523,0.04047661874653406,0.001710653613220785,0.00007229694756149372,0.0000030554725794983374,1.2913548421301037e-7,5.458957009604797e-9,2.3072983485091298e-10
0.4,0.005681818181818182,1408,8,1.5009721646087795e-8,0.8905685448786049,0.09745623157715207,0.010664779414408503,0.0011670625880179418,0.00012771334296913974,0.000013975475571302807,0.0000015280669493791236,1.6465630795437197e-7,0.8905685315114189,0.09745623011436115,0.010664779254333132,0.001167062570500657,0.00012771334105219801,0.000013975475361534807,0.000001528066926443264,1.646563054829266e-7
0.5,0.005681818181818182,1408,8,0.0000018952587900859875,0.7943505505359917,0.1633601451765247,0.03359541616304748,0.006908981185732399,0.0014208470653329155,0.0002921684075756766,0.000059939584018811654,0.000011951881760620445,0.7943490450361284,0.16335983556677358,0.03359535249103969,0.0069089680914250756,0.0014208443724600256,0.0002921678538409339,0.00005993947041778817,0.000011951859108711479
0.6000000000000001,0.005681818181818182,1408,8,0.000059661982672846574,0.6733230961796646,0.22002671960956463,0.07189974731413261,0.0234952278217522,0.0076776835506780295,0.002508180625124827,0.0008155793908262278,0.0002537655082398707,0.673282924388767,0.2200135923792317,0.07189545763265417,0.023493826049877004,0.007677225484855062,0.0025080309820958305,0.000815530731742744,0.0002537503680865151
0.7000000000000001,0.005681818181818182,1408,8,0.000783624302461168,0.5320895476780908,0.24970844051571675,0.11718764359247998,0.05499605854015903,0.025809382191873297,0.012105390225653587,0.00563417247991674,0.0024693647761170508,0.5316725893774448,0.249512762913199,0.11709581250701276,0.05495296229214739,0.02578915733275624,0.01209590414768199,0.005629757405437219,0.0024674297218668442
0.8,0.005681818181818182,1408,8,0.005456335505296745,0.3797202988648599,0.23938244648782428,0.1509110632399704,0.09513769765742762,0.05997595969144981,0.037772946395789875,0.023521306506898154,0.01357828115574278,0.37764841751608164,0.23807629554570794,0.15008764184747203,0.0946185944598072,0.0596487107331211,0.03756684452723085,0.023392966367073595,0.013504193498171798
0.9,0.005681818181818182,1408,8,0.0225852354289392,0.23647078565515883,0.19104819398200712,0.15435085666719606,0.12470410784195697,0.10074886589150878,0.08127335059741199,0.06456246616273961,0.046841373201991526,0.23113003728907083,0.18673332554264985,0.15086480623070897,0.12188763620739054,0.09847342903615042,0.07943777284007073,0.06310430766458121,0.04578344976040974
1,0.005681818181818182,1408,8,0.06031349384564485,0.12764413623753967,0.12764412575256492,0.1276445049005652,0.1276478002028901,0.1276450650733027,0.12736774534609493,0.12461231537918549,0.10979430710786883,0.11994547241214415,0.11994546255955488,0.11994581883981456,0.11994891539094296,0.1199463452265771,0.11968575162102957,0.11709651126247142,0.10317222884183154
1.1,0.005681818181818182,1408,8,0.11521228503115427,0.06200466444900117,0.07472889175197939,0.09006480286687829,0.10855194373060392,0.13082403905026288,0.1572054661526983,0.1843890123146507,0.1922311796839225,0.05486096537524177,0.06611920537538807,0.07968823112770479,0.09604542624882777,0.11575150257427713,0.13909346517785814,0.16314513287124216,0.1700837862183034
1.2000000000000002,0.005681818181818182,1408,8,0.17599761949711692,0.02869583997668884,0.04081545496034388,0.05805428617341718,0.08257864121283862,0.11744967601548954,0.16641184736102582,0.22908605393870096,0.2769082003614781,0.0236454404513214,0.03363203204863156,0.04783687000529137,0.0680449969380725,0.09677881262605575,0.1371237583693677,0.18876745378550147,0.2281730162786273
1.3,0.005681818181818182,1408,8,0.23436669472192742,0.013242444256954833,0.02185512448239357,0.03606986830240744,0.05953458943967934,0.09824769535882386,0.16136104181425295,0.2562898894373785,0.35339934690813796,0.010138856366412959,0.016733011194718716,0.02761629248931699,0.04558166449107473,0.07522170773352946,0.12354338778735977,0.1962240751592919,0.2705743100563899
1.4000000000000001,0.005681818181818182,1408,8,0.2871479019606973,0.006253748767659126,0.011809964951395515,0.022303132326818777,0.04212386784792635,0.07954079919522276,0.1493175765745966,0.269812830524211,0.4188380798121261,0.004457997929636512,0.008418758293372925,0.01589883467202096,0.030028087572924626,0.05670082558603743,0.10644134773534542,0.19233664231710662,0.298569603932827
